ReFT_Layer,Attack_Layer,Final_Eval_Acc,Corrected_Total_FLOPs,Elapsed_Seconds,Original_Total_FLOPs
1,1,0.501128,2.6795e+17,23410.1,2.6795e+17
1,6,0.683356,2.4004e+17,13551.8,2.6795e+17
1,11,0.677492,2.1213e+17,11397.9,2.6795e+17
1,16,0.676590,1.8421e+17,10418.2,2.6795e+17
1,21,0.678845,1.5630e+17,12552.5,2.6795e+17
6,1,0.603067,2.6795e+17,21081.9,2.6795e+17
6,6,0.663960,2.4004e+17,16353.1,2.6795e+17
6,11,0.683356,2.1213e+17,14627.8,2.6795e+17
6,16,0.683356,1.8421e+17,22547.2,2.6795e+17
6,21,0.682905,1.5630e+17,9996.4,2.6795e+17
11,1,0.658097,2.6795e+17,12635.1,2.6795e+17
11,6,0.661254,2.4004e+17,11664.7,2.6795e+17
11,11,0.681101,2.1213e+17,15801.6,2.6795e+17
11,16,0.684258,1.8421e+17,15108.6,2.6795e+17
11,21,0.684258,1.5630e+17,12334.5,2.6795e+17
16,1,0.686964,2.6795e+17,19452.6,2.6795e+17
16,6,0.681101,2.4004e+17,23268.7,2.6795e+17
16,11,0.683356,2.1213e+17,10117.0,2.6795e+17
16,16,0.683356,1.8421e+17,9088.6,2.6795e+17
16,21,0.682454,1.5630e+17,8087.9,2.6795e+17
21,1,0.685160,2.6795e+17,18131.7,2.6795e+17
21,6,0.677041,2.4004e+17,16471.6,2.6795e+17
21,11,0.679747,2.1213e+17,13961.6,2.6795e+17
21,16,0.680198,1.8421e+17,15364.6,2.6795e+17
21,21,0.681552,1.5630e+17,14360.7,2.6795e+17
